distractor,target,set,ans,ans1,ans2,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,flanker_thisRepN,flanker_thisTrialN,flanker_thisN,flanker_thisIndex,stroop_thisRepN,stroop_thisTrialN,stroop_thisN,stroop_thisIndex,st_ins_loop_thisRepN,st_ins_loop_thisTrialN,st_ins_loop_thisN,st_ins_loop_thisIndex,stroop_prac_loop_thisRepN,stroop_prac_loop_thisTrialN,stroop_prac_loop_thisN,stroop_prac_loop_thisIndex,st_block_thisRepN,st_block_thisTrialN,st_block_thisN,st_block_thisIndex,stroop_main_loop_thisRepN,stroop_main_loop_thisTrialN,stroop_main_loop_thisN,stroop_main_loop_thisIndex,stroop_block_ins_thisRepN,stroop_block_ins_thisTrialN,stroop_block_ins_thisN,stroop_block_ins_thisIndex,conjunction_thisRepN,conjunction_thisTrialN,conjunction_thisN,conjunction_thisIndex,fl_ins_rep_thisRepN,fl_ins_rep_thisTrialN,fl_ins_rep_thisN,fl_ins_rep_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_prac_exp_thisRepN,flanker_prac_exp_thisTrialN,flanker_prac_exp_thisN,flanker_prac_exp_thisIndex,fl_block_thisRepN,fl_block_thisTrialN,fl_block_thisN,fl_block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,flanker_block_ins_thisRepN,flanker_block_ins_thisTrialN,flanker_block_ins_thisN,flanker_block_ins_thisIndex,conj_ins_loop_thisRepN,conj_ins_loop_thisTrialN,conj_ins_loop_thisN,conj_ins_loop_thisIndex,conj_prac_loop_thisRepN,conj_prac_loop_thisTrialN,conj_prac_loop_thisN,conj_prac_loop_thisIndex,conj_block_thisRepN,conj_block_thisTrialN,conj_block_thisN,conj_block_thisIndex,conj_main_loop_thisRepN,conj_main_loop_thisTrialN,conj_main_loop_thisN,conj_main_loop_thisIndex,conj_block_ins_thisRepN,conj_block_ins_thisTrialN,conj_block_ins_thisN,conj_block_ins_thisIndex,image_8_started,start_wait_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,key_resp_9_duration,key_resp_3_keys,key_resp_3_rt,key_resp_3_duration,image_started,ins_rep_img_started,image_9_started,back_started,main_prac,st_back_started,st_ans,st_res,st_corr,st_rt,st2_resp_keys,st2_resp_corr,mainback_2_started,mouse_started,image_10_started,key_resp_4_keys,key_resp_4_rt,key_resp_4_duration,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,back_stopped,task_type,contineu_block_started,key_resp_10_started,key_resp_10_keys,key_resp_10_rt,key_resp_10_duration,next_game_img_started,next_game_key_started,next_game_key_keys,next_game_key_rt,next_game_key_duration,fl_inst_resp_keys,fl_inst_resp_rt,fl_inst_resp_duration,image_4_started,image_5_started,image_6_started,back_2_started,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,j_button_started,k_button_started,l_button_started,targ_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,backimg_started,fl_prac_text_started,fl_prac_key_started,fl_prac_key_keys,fl_prac_key_rt,fl_prac_key_duration,mainback_started,mouse_6_started,image_7_started,key_resp_keys,key_resp_rt,key_resp_duration,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,back_2_stopped,j_button2_2_started,j_button2_2_stopped,k_button2_2_started,k_button2_2_stopped,l_button2_2_started,l_button2_2_stopped,contineu_img_started,key_resp_8_started,key_resp_8_keys,key_resp_8_rt,key_resp_8_duration,key_resp_5_keys,key_resp_5_rt,key_resp_5_duration,image_11_started,ins_rep_img_2_started,st_back_2_started,st2_resp_2_keys,st2_resp_2_corr,text_started,text_stopped,id_,age,order,sex,flanker,stroop,conjunction,test_mode,date,expName,psychopyVersion,frameRate
negative,neutral,2,,k,k,1,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,2,2,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,flanker,NaN,NaN,,NaN,,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,2,2,2,negative,neutral,874.697072300129,874.697072300129,874.697072300129,874.697072300129,875.714010500116,875.714010500116,k,k,1,0.935679899994284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,876.647215400124,876.647215400124,876.647215400124,876.647215400124,876.647215400124,876.647215400124,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,999,3,f,yes,yes,yes,no,2023-10-09_10h21.04.650,all_task_Ver_0825,2023.1.3,59.2842376868037
positive,negative,2,,j,l,1,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,3,3,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,flanker,NaN,NaN,,NaN,,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,1,1,2,positive,negative,876.647215400124,876.647215400124,876.647215400124,876.647215400124,877.613349300111,877.647245600121,l,l,1,1.46344040008262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,879.096805799985,879.096805799985,879.096805799985,879.096805799985,879.096805799985,879.096805799985,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,999,3,f,yes,yes,yes,no,2023-10-09_10h21.04.650,all_task_Ver_0825,2023.1.3,59.2842376868037
positive,neutral,2,,k,k,1,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,4,4,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,flanker,NaN,NaN,,NaN,,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,1,1,2,positive,neutral,879.096805799985,879.096805799985,879.096805799985,879.096805799985,880.080187099986,880.097104100045,k,k,1,1.00942160002887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,881.112367900088,881.112367900088,881.112367900088,881.112367900088,881.112367900088,881.112367900088,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,999,3,f,yes,yes,yes,no,2023-10-09_10h21.04.650,all_task_Ver_0825,2023.1.3,59.2842376868037
negative,neutral,1,,k,k,1,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,5,5,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,flanker,NaN,NaN,,NaN,,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,2,2,1,negative,neutral,881.112367900088,881.112367900088,881.112367900088,881.112367900088,882.096828599926,882.114009100012,k,,0,1.83288949984126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,883.947173499968,884.978199600009,883.947173499968,884.978199600009,883.947173499968,884.978199600009,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,999,3,f,yes,yes,yes,no,2023-10-09_10h21.04.650,all_task_Ver_0825,2023.1.3,59.2842376868037
negative,negative,2,,j,l,1,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,6,6,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,flanker,NaN,NaN,,NaN,,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,2,2,2,negative,negative,884.978199600009,884.978199600009,884.978199600009,884.978199600009,885.946731599979,885.995501300087,l,l,1,0.972773100016639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,886.946437899955,886.946437899955,886.946437899955,886.946437899955,886.946437899955,886.946437899955,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,999,3,f,yes,yes,yes,no,2023-10-09_10h21.04.650,all_task_Ver_0825,2023.1.3,59.2842376868037
negative,positive,1,,l,j,1,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,7,7,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,flanker,NaN,NaN,,NaN,,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,1,1,1,negative,positive,886.946437899955,886.946437899955,886.946437899955,886.946437899955,887.930260800058,887.94692789996,j,j,1,0.88380439998582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,888.829739900073,888.829739900073,888.829739900073,888.829739900073,888.829739900073,888.829739900073,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,999,3,f,yes,yes,yes,no,2023-10-09_10h21.04.650,all_task_Ver_0825,2023.1.3,59.2842376868037
neutral,negative,2,,j,l,1,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,8,8,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,flanker,NaN,NaN,,NaN,,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,2,2,2,neutral,negative,888.829739900073,888.829739900073,888.829739900073,888.829739900073,889.812660499942,889.830014300067,l,l,1,1.1338720000349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,890.963660800131,890.963660800131,890.963660800131,890.963660800131,890.963660800131,890.963660800131,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,999,3,f,yes,yes,yes,no,2023-10-09_10h21.04.650,all_task_Ver_0825,2023.1.3,59.2842376868037
negative,positive,2,,l,j,1,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,9,9,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,flanker,NaN,NaN,,NaN,,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,1,1,2,negative,positive,890.963660800131,890.963660800131,890.963660800131,890.963660800131,891.947219999973,891.962900300045,j,j,1,0.978841099888086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,892.94640669995,892.94640669995,892.94640669995,892.94640669995,892.94640669995,892.94640669995,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,999,3,f,yes,yes,yes,no,2023-10-09_10h21.04.650,all_task_Ver_0825,2023.1.3,59.2842376868037
neutral,neutral,2,,k,k,1,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,10,10,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,flanker,NaN,NaN,,NaN,,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,1,1,2,neutral,neutral,892.94640669995,892.94640669995,892.94640669995,892.94640669995,893.929529899964,893.946761199972,k,k,1,0.8705176000949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,894.812834500102,894.812834500102,894.812834500102,894.812834500102,894.812834500102,894.812834500102,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,999,3,f,yes,yes,yes,no,2023-10-09_10h21.04.650,all_task_Ver_0825,2023.1.3,59.2842376868037
neutral,neutral,1,,k,k,1,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,11,11,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,flanker,NaN,NaN,,NaN,,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,1,1,1,neutral,neutral,894.812834500102,894.812834500102,894.812834500102,894.812834500102,895.796083600027,895.813598100096,k,k,1,0.760774600086734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,896.579831300071,896.579831300071,896.579831300071,896.579831300071,896.579831300071,896.579831300071,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,999,3,f,yes,yes,yes,no,2023-10-09_10h21.04.650,all_task_Ver_0825,2023.1.3,59.2842376868037
neutral,positive,2,,l,j,1,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,12,12,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,flanker,NaN,NaN,,NaN,,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,2,2,2,neutral,positive,896.579831300071,896.579831300071,896.579831300071,896.579831300071,897.594542999985,897.594542999985,j,j,1,0.865260799881071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,898.446423100075,898.446423100075,898.446423100075,898.446423100075,898.446423100075,898.446423100075,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,999,3,f,yes,yes,yes,no,2023-10-09_10h21.04.650,all_task_Ver_0825,2023.1.3,59.2842376868037
positive,positive,2,,l,j,1,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,13,13,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,flanker,NaN,NaN,,NaN,,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,1,1,2,positive,positive,898.446423100075,898.446423100075,898.446423100075,898.446423100075,899.461789899971,899.461789899971,j,j,1,1.5188190001063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,900.963090799982,900.963090799982,900.963090799982,900.963090799982,900.963090799982,900.963090799982,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,999,3,f,yes,yes,yes,no,2023-10-09_10h21.04.650,all_task_Ver_0825,2023.1.3,59.2842376868037
positive,neutral,1,,k,k,1,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,14,14,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,flanker,NaN,NaN,,NaN,,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,1,1,1,positive,neutral,900.963090799982,900.963090799982,900.963090799982,900.963090799982,901.946370200021,901.962711200118,k,k,1,0.86624399991706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,902.830414599972,902.830414599972,902.830414599972,902.830414599972,902.830414599972,902.830414599972,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,999,3,f,yes,yes,yes,no,2023-10-09_10h21.04.650,all_task_Ver_0825,2023.1.3,59.2842376868037
positive,positive,1,,l,j,1,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,15,15,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,flanker,NaN,NaN,,NaN,,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,2,2,1,positive,positive,902.830414599972,902.830414599972,902.830414599972,902.830414599972,903.812695099972,903.911473599961,j,j,1,0.941966000013053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,904.777452599956,904.777452599956,904.777452599956,904.777452599956,904.777452599956,904.777452599956,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,999,3,f,yes,yes,yes,no,2023-10-09_10h21.04.650,all_task_Ver_0825,2023.1.3,59.2842376868037
neutral,positive,1,,l,j,1,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,16,16,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,flanker,NaN,NaN,,NaN,,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,2,2,1,neutral,positive,904.777452599956,904.777452599956,904.777452599956,904.777452599956,905.763065000065,905.780083799968,j,j,1,1.04111849982291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,906.812449000077,906.812449000077,906.812449000077,906.812449000077,906.812449000077,906.812449000077,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,999,3,f,yes,yes,yes,no,2023-10-09_10h21.04.650,all_task_Ver_0825,2023.1.3,59.2842376868037
